wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
1001,611.232997,611,0.000000,scan_blocks_output/B6_1001_1300/00000_1001nm.npy
1003,611.381169,611,0.148172,scan_blocks_output/B6_1001_1300/00001_1003nm.npy
1005,611.232281,611,-0.000716,scan_blocks_output/B6_1001_1300/00002_1005nm.npy
1007,611.366266,611,0.133269,scan_blocks_output/B6_1001_1300/00003_1007nm.npy
1009,611.604799,611,0.371802,scan_blocks_output/B6_1001_1300/00004_1009nm.npy
1011,611.847777,611,0.614780,scan_blocks_output/B6_1001_1300/00005_1011nm.npy
1013,611.967773,612,0.734776,scan_blocks_output/B6_1001_1300/00006_1013nm.npy
1015,612.073096,612,0.840099,scan_blocks_output/B6_1001_1300/00007_1015nm.npy
1017,612.336295,612,1.103298,scan_blocks_output/B6_1001_1300/00008_1017nm.npy
1019,612.430577,612,1.197580,scan_blocks_output/B6_1001_1300/00009_1019nm.npy
1021,612.535902,612,1.302905,scan_blocks_output/B6_1001_1300/00010_1021nm.npy
1023,612.627307,612,1.394310,scan_blocks_output/B6_1001_1300/00011_1023nm.npy
1025,612.922394,613,1.689397,scan_blocks_output/B6_1001_1300/00012_1025nm.npy
1027,613.153037,613,1.920040,scan_blocks_output/B6_1001_1300/00013_1027nm.npy
1029,613.175846,613,1.942849,scan_blocks_output/B6_1001_1300/00014_1029nm.npy
1031,613.512159,613,2.279162,scan_blocks_output/B6_1001_1300/00015_1031nm.npy
1033,613.669335,613,2.436338,scan_blocks_output/B6_1001_1300/00016_1033nm.npy
1035,613.997601,613,2.764604,scan_blocks_output/B6_1001_1300/00017_1035nm.npy
1037,614.170175,614,2.937178,scan_blocks_output/B6_1001_1300/00018_1037nm.npy
1039,614.415353,614,3.182356,scan_blocks_output/B6_1001_1300/00019_1039nm.npy
1041,614.525572,614,3.292575,scan_blocks_output/B6_1001_1300/00020_1041nm.npy
1043,614.629604,615,3.396607,scan_blocks_output/B6_1001_1300/00021_1043nm.npy
1045,614.867970,615,3.634973,scan_blocks_output/B6_1001_1300/00022_1045nm.npy
1047,614.966563,615,3.733567,scan_blocks_output/B6_1001_1300/00023_1047nm.npy
1049,615.069060,615,3.836063,scan_blocks_output/B6_1001_1300/00024_1049nm.npy
1051,615.173341,616,3.940344,scan_blocks_output/B6_1001_1300/00025_1051nm.npy
1053,615.271873,616,4.038876,scan_blocks_output/B6_1001_1300/00026_1053nm.npy
1055,615.494826,616,4.261829,scan_blocks_output/B6_1001_1300/00027_1055nm.npy
1057,615.602797,616,4.369800,scan_blocks_output/B6_1001_1300/00028_1057nm.npy
1059,615.727061,616,4.494064,scan_blocks_output/B6_1001_1300/00029_1059nm.npy
1061,615.976791,616,4.743794,scan_blocks_output/B6_1001_1300/00030_1061nm.npy
1063,616.060971,616,4.827974,scan_blocks_output/B6_1001_1300/00031_1063nm.npy
1065,616.111937,616,4.878940,scan_blocks_output/B6_1001_1300/00032_1065nm.npy
1067,616.377298,616,5.144301,scan_blocks_output/B6_1001_1300/00033_1067nm.npy
1069,616.490702,616,5.257705,scan_blocks_output/B6_1001_1300/00034_1069nm.npy
1071,616.582793,616,5.349796,scan_blocks_output/B6_1001_1300/00035_1071nm.npy
1073,616.681199,616,5.448203,scan_blocks_output/B6_1001_1300/00036_1073nm.npy
1075,616.906389,616,5.673392,scan_blocks_output/B6_1001_1300/00037_1075nm.npy
1077,617.009541,616,5.776544,scan_blocks_output/B6_1001_1300/00038_1077nm.npy
1079,617.091132,616,5.858135,scan_blocks_output/B6_1001_1300/00039_1079nm.npy
1081,617.203250,616,5.970253,scan_blocks_output/B6_1001_1300/00040_1081nm.npy
1083,617.427062,616,6.194065,scan_blocks_output/B6_1001_1300/00041_1083nm.npy
1085,617.519653,617,6.286656,scan_blocks_output/B6_1001_1300/00042_1085nm.npy
1087,617.753699,618,6.520702,scan_blocks_output/B6_1001_1300/00043_1087nm.npy
1089,617.840051,618,6.607054,scan_blocks_output/B6_1001_1300/00044_1089nm.npy
1091,617.942262,618,6.709265,scan_blocks_output/B6_1001_1300/00045_1091nm.npy
1093,618.047904,618,6.814907,scan_blocks_output/B6_1001_1300/00046_1093nm.npy
1095,618.125655,618,6.892658,scan_blocks_output/B6_1001_1300/00047_1095nm.npy
1097,618.215838,618,6.982841,scan_blocks_output/B6_1001_1300/00048_1097nm.npy
1099,618.424160,618,7.191163,scan_blocks_output/B6_1001_1300/00049_1099nm.npy
1101,618.497021,618,7.264024,scan_blocks_output/B6_1001_1300/00050_1101nm.npy
1103,618.766399,618,7.533402,scan_blocks_output/B6_1001_1300/00051_1103nm.npy
1105,618.853857,619,7.620860,scan_blocks_output/B6_1001_1300/00052_1105nm.npy
1107,618.952927,619,7.719930,scan_blocks_output/B6_1001_1300/00053_1107nm.npy
1109,619.040357,619,7.807360,scan_blocks_output/B6_1001_1300/00054_1109nm.npy
1111,619.134484,619,7.901487,scan_blocks_output/B6_1001_1300/00055_1111nm.npy
1113,619.374636,619,8.141639,scan_blocks_output/B6_1001_1300/00056_1113nm.npy
1115,619.487304,619,8.254307,scan_blocks_output/B6_1001_1300/00057_1115nm.npy
1117,619.578027,619,8.345030,scan_blocks_output/B6_1001_1300/00058_1117nm.npy
1119,619.672958,619,8.439961,scan_blocks_output/B6_1001_1300/00059_1119nm.npy
1121,619.781170,620,8.548173,scan_blocks_output/B6_1001_1300/00060_1121nm.npy
1123,620.008332,620,8.775335,scan_blocks_output/B6_1001_1300/00061_1123nm.npy
1125,620.227234,620,8.994237,scan_blocks_output/B6_1001_1300/00062_1125nm.npy
1127,620.342297,620,9.109300,scan_blocks_output/B6_1001_1300/00063_1127nm.npy
1129,620.434779,620,9.201782,scan_blocks_output/B6_1001_1300/00064_1129nm.npy
1131,620.524023,620,9.291026,scan_blocks_output/B6_1001_1300/00065_1131nm.npy
1133,620.735575,620,9.502578,scan_blocks_output/B6_1001_1300/00066_1133nm.npy
1135,620.822728,621,9.589731,scan_blocks_output/B6_1001_1300/00067_1135nm.npy
1137,620.915544,621,9.682547,scan_blocks_output/B6_1001_1300/00068_1137nm.npy
1139,621.008142,621,9.775145,scan_blocks_output/B6_1001_1300/00069_1139nm.npy
1141,621.099013,621,9.866016,scan_blocks_output/B6_1001_1300/00070_1141nm.npy
1143,621.190597,621,9.957600,scan_blocks_output/B6_1001_1300/00071_1143nm.npy
1145,621.407927,621,10.174930,scan_blocks_output/B6_1001_1300/00072_1145nm.npy
1147,621.486070,621,10.253073,scan_blocks_output/B6_1001_1300/00073_1147nm.npy
1149,621.571474,621,10.338477,scan_blocks_output/B6_1001_1300/00074_1149nm.npy
1151,621.647567,622,10.414570,scan_blocks_output/B6_1001_1300/00075_1151nm.npy
1153,621.739360,622,10.506363,scan_blocks_output/B6_1001_1300/00076_1153nm.npy
1155,621.948406,622,10.715409,scan_blocks_output/B6_1001_1300/00077_1155nm.npy
1157,622.032182,622,10.799185,scan_blocks_output/B6_1001_1300/00078_1157nm.npy
1159,622.256622,622,11.023625,scan_blocks_output/B6_1001_1300/00079_1159nm.npy
1161,622.336716,622,11.103719,scan_blocks_output/B6_1001_1300/00080_1161nm.npy
1163,622.436858,622,11.203861,scan_blocks_output/B6_1001_1300/00081_1163nm.npy
1165,622.502863,622,11.269866,scan_blocks_output/B6_1001_1300/00082_1165nm.npy
1167,622.592485,622,11.359488,scan_blocks_output/B6_1001_1300/00083_1167nm.npy
1169,622.676533,622,11.443536,scan_blocks_output/B6_1001_1300/00084_1169nm.npy
1171,622.752712,622,11.519715,scan_blocks_output/B6_1001_1300/00085_1171nm.npy
1173,622.977802,622,11.744805,scan_blocks_output/B6_1001_1300/00086_1173nm.npy
1175,623.195318,623,11.962321,scan_blocks_output/B6_1001_1300/00087_1175nm.npy
1177,623.286384,623,12.053387,scan_blocks_output/B6_1001_1300/00088_1177nm.npy
1179,623.373252,623,12.140255,scan_blocks_output/B6_1001_1300/00089_1179nm.npy
1181,623.456194,623,12.223197,scan_blocks_output/B6_1001_1300/00090_1181nm.npy
1183,623.529227,623,12.296230,scan_blocks_output/B6_1001_1300/00091_1183nm.npy
1185,623.609394,623,12.376397,scan_blocks_output/B6_1001_1300/00092_1185nm.npy
1187,623.696643,623,12.463646,scan_blocks_output/B6_1001_1300/00093_1187nm.npy
1189,623.921792,623,12.688795,scan_blocks_output/B6_1001_1300/00094_1189nm.npy
1191,623.997362,624,12.764365,scan_blocks_output/B6_1001_1300/00095_1191nm.npy
1193,624.088080,624,12.855083,scan_blocks_output/B6_1001_1300/00096_1193nm.npy
1195,624.302251,624,13.069254,scan_blocks_output/B6_1001_1300/00097_1195nm.npy
1197,624.378996,624,13.145999,scan_blocks_output/B6_1001_1300/00098_1197nm.npy
1199,624.449462,624,13.216465,scan_blocks_output/B6_1001_1300/00099_1199nm.npy
1201,624.525955,624,13.292958,scan_blocks_output/B6_1001_1300/00100_1201nm.npy
1203,624.743707,624,13.510710,scan_blocks_output/B6_1001_1300/00101_1203nm.npy
1205,624.838513,624,13.605516,scan_blocks_output/B6_1001_1300/00102_1205nm.npy
1207,624.942976,624,13.709979,scan_blocks_output/B6_1001_1300/00103_1207nm.npy
1209,625.015704,624,13.782707,scan_blocks_output/B6_1001_1300/00104_1209nm.npy
1211,625.088031,624,13.855035,scan_blocks_output/B6_1001_1300/00105_1211nm.npy
1213,625.174917,625,13.941920,scan_blocks_output/B6_1001_1300/00106_1213nm.npy
1215,625.272915,625,14.039918,scan_blocks_output/B6_1001_1300/00107_1215nm.npy
1217,625.481066,625,14.248069,scan_blocks_output/B6_1001_1300/00108_1217nm.npy
1219,625.563598,625,14.330601,scan_blocks_output/B6_1001_1300/00109_1219nm.npy
1221,625.661258,625,14.428261,scan_blocks_output/B6_1001_1300/00110_1221nm.npy
1223,625.726269,626,14.493272,scan_blocks_output/B6_1001_1300/00111_1223nm.npy
1225,625.924184,626,14.691187,scan_blocks_output/B6_1001_1300/00112_1225nm.npy
1227,626.001717,626,14.768720,scan_blocks_output/B6_1001_1300/00113_1227nm.npy
1229,626.076568,626,14.843571,scan_blocks_output/B6_1001_1300/00114_1229nm.npy
1231,626.286007,626,15.053010,scan_blocks_output/B6_1001_1300/00115_1231nm.npy
1233,626.366724,626,15.133727,scan_blocks_output/B6_1001_1300/00116_1233nm.npy
1235,626.435408,626,15.202411,scan_blocks_output/B6_1001_1300/00117_1235nm.npy
1237,626.494604,626,15.261607,scan_blocks_output/B6_1001_1300/00118_1237nm.npy
1239,626.573748,626,15.340751,scan_blocks_output/B6_1001_1300/00119_1239nm.npy
1241,626.667976,626,15.434979,scan_blocks_output/B6_1001_1300/00120_1241nm.npy
1243,626.737213,626,15.504216,scan_blocks_output/B6_1001_1300/00121_1243nm.npy
1245,626.795948,626,15.562951,scan_blocks_output/B6_1001_1300/00122_1245nm.npy
1247,626.883546,626,15.650549,scan_blocks_output/B6_1001_1300/00123_1247nm.npy
1249,627.095309,627,15.862312,scan_blocks_output/B6_1001_1300/00124_1249nm.npy
1251,627.170736,627,15.937739,scan_blocks_output/B6_1001_1300/00125_1251nm.npy
1253,627.386366,627,16.153369,scan_blocks_output/B6_1001_1300/00126_1253nm.npy
1255,627.462105,627,16.229108,scan_blocks_output/B6_1001_1300/00127_1255nm.npy
1257,627.528529,627,16.295532,scan_blocks_output/B6_1001_1300/00128_1257nm.npy
1259,627.600541,627,16.367544,scan_blocks_output/B6_1001_1300/00129_1259nm.npy
1261,627.669832,627,16.436835,scan_blocks_output/B6_1001_1300/00130_1261nm.npy
1263,627.743322,627,16.510325,scan_blocks_output/B6_1001_1300/00131_1263nm.npy
1265,627.950470,627,16.717473,scan_blocks_output/B6_1001_1300/00132_1265nm.npy
1267,628.022911,628,16.789914,scan_blocks_output/B6_1001_1300/00133_1267nm.npy
1269,628.108142,628,16.875145,scan_blocks_output/B6_1001_1300/00134_1269nm.npy
1271,628.175913,628,16.942916,scan_blocks_output/B6_1001_1300/00135_1271nm.npy
1273,628.248550,628,17.015553,scan_blocks_output/B6_1001_1300/00136_1273nm.npy
1275,628.462449,628,17.229452,scan_blocks_output/B6_1001_1300/00137_1275nm.npy
1277,628.540419,628,17.307422,scan_blocks_output/B6_1001_1300/00138_1277nm.npy
1279,628.610448,628,17.377451,scan_blocks_output/B6_1001_1300/00139_1279nm.npy
1281,628.689951,628,17.456954,scan_blocks_output/B6_1001_1300/00140_1281nm.npy
1283,628.771680,628,17.538683,scan_blocks_output/B6_1001_1300/00141_1283nm.npy
1285,628.986760,628,17.753763,scan_blocks_output/B6_1001_1300/00142_1285nm.npy
1287,629.065233,628,17.832236,scan_blocks_output/B6_1001_1300/00143_1287nm.npy
1289,629.130853,629,17.897856,scan_blocks_output/B6_1001_1300/00144_1289nm.npy
1291,629.209167,629,17.976170,scan_blocks_output/B6_1001_1300/00145_1291nm.npy
1293,629.295559,629,18.062562,scan_blocks_output/B6_1001_1300/00146_1293nm.npy
1295,629.495506,629,18.262509,scan_blocks_output/B6_1001_1300/00147_1295nm.npy
1297,629.579023,629,18.346026,scan_blocks_output/B6_1001_1300/00148_1297nm.npy
1299,629.665526,629,18.432529,scan_blocks_output/B6_1001_1300/00149_1299nm.npy
